"hair" "eyes" "gender"
"Black" "Brown" "Male"
"Blond" "Blue" "Female"
"Black" "Blue" "Male"
"Brown" "Brown" "Female"
"Red" "Brown" "Male"
"Brown" "Blue" "Male"
"Red" "Green" "Male"
"Brown" "Blue" "Male"
"Blond" "Hazel" "Male"
"Black" "Brown" "Male"
"Red" "Brown" "Male"
"Brown" "Blue" "Female"
"Blond" "Blue" "Male"
"Blond" "Hazel" "Male"
"Brown" "Blue" "Male"
"Brown" "Brown" "Male"
"Blond" "Brown" "Male"
"Brown" "Brown" "Male"
"Brown" "Blue" "Male"
"Brown" "Blue" "Female"
"Blond" "Blue" "Male"
"Brown" "Brown" "Female"
"Brown" "Brown" "Female"
"Black" "Brown" "Female"
"Brown" "Brown" "Female"
"Brown" "Blue" "Female"
"Brown" "Hazel" "Female"
"Black" "Hazel" "Male"
"Black" "Brown" "Female"
"Brown" "Hazel" "Male"
"Black" "Brown" "Female"
"Blond" "Blue" "Female"
"Red" "Brown" "Female"
"Brown" "Brown" "Female"
"Brown" "Green" "Female"
"Brown" "Hazel" "Male"
"Brown" "Green" "Male"
"Red" "Hazel" "Female"
"Black" "Blue" "Male"
"Brown" "Hazel" "Female"
"Blond" "Blue" "Male"
"Blond" "Blue" "Female"
"Red" "Green" "Female"
"Red" "Hazel" "Female"
"Brown" "Blue" "Male"
"Brown" "Brown" "Male"
"Blond" "Green" "Male"
"Brown" "Hazel" "Female"
"Blond" "Blue" "Female"
"Black" "Brown" "Male"
"Red" "Hazel" "Male"
"Blond" "Blue" "Female"
"Red" "Brown" "Female"
"Black" "Green" "Male"
"Brown" "Brown" "Female"
"Red" "Brown" "Female"
"Blond" "Blue" "Female"
"Brown" "Brown" "Female"
"Brown" "Blue" "Male"
"Brown" "Hazel" "Female"
"Black" "Brown" "Male"
"Blond" "Blue" "Male"
"Brown" "Brown" "Female"
"Brown" "Blue" "Male"
"Brown" "Brown" "Female"
"Blond" "Blue" "Female"
"Brown" "Brown" "Male"
"Red" "Brown" "Female"
"Brown" "Brown" "Female"
"Blond" "Blue" "Male"
"Blond" "Hazel" "Female"
"Brown" "Hazel" "Female"
"Black" "Brown" "Female"
"Brown" "Blue" "Female"
"Black" "Hazel" "Female"
"Black" "Hazel" "Female"
"Brown" "Green" "Female"
"Brown" "Blue" "Male"
"Red" "Green" "Female"
"Red" "Brown" "Female"
"Brown" "Blue" "Female"
"Blond" "Blue" "Female"
"Brown" "Brown" "Male"
"Brown" "Blue" "Male"
"Brown" "Blue" "Female"
"Brown" "Green" "Male"
"Red" "Green" "Female"
"Blond" "Blue" "Female"
"Blond" "Blue" "Female"
"Blond" "Blue" "Female"
"Blond" "Blue" "Female"
"Brown" "Brown" "Male"
"Brown" "Brown" "Female"
"Black" "Brown" "Male"
"Brown" "Blue" "Male"
"Brown" "Brown" "Female"
"Brown" "Blue" "Male"
"Brown" "Brown" "Female"
"Brown" "Brown" "Female"
"Brown" "Brown" "Female"
"Brown" "Brown" "Female"
"Blond" "Blue" "Male"
"Blond" "Green" "Female"
"Brown" "Brown" "Male"
"Brown" "Brown" "Female"
"Red" "Hazel" "Male"
"Brown" "Blue" "Female"
"Brown" "Brown" "Female"
